RefurbisherID,Company Name,Refurbisher,Status,Type,Address,District,State
5,4R Recycling Pvt Ltd,Refurbisher,Approved by CPCB Authority,Authorization,"P-6,South Western Portion,3 rd stage ,Peenya Industrial Estate  Bangalore Bangalore",Bangalore,KARNATAKA
39840,A ONE E-WASTE RECYCLING,Refurbisher,Approved by CPCB Authority,Authorization,"KHASRA NO 1313, MAWANA ROAD, VILLAGE KHARDONI SHEKHUPUR MEERUT Meerut",Meerut,UTTAR PRADESH
21,Axom Refurbisher,Refurbisher,Approved by CPCB Authority,Authorization,"3rd Floor, Kamal C Plaza, Opp. Bora Service Station G.S Road GUWAHATI Kamrup (Metro)",Kamrup (Metro),ASSAM
34109,COMMUNICATIONS TEST DESIGN INDIA PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"NO. 48, 2ND PHASE PEENYA INDUSTRIAL AREA, PEENYA Bengaluru (Bangalore) Urban Bangalore",Bangalore,KARNATAKA
1912855,Deshwal Waste Management Pvt. Ltd.,Refurbisher,Approved by CPCB Authority,Authorization,"Gat No-520, Behind Shell Petrol Pump, Pune Nagar Road Wagholi Pune Pune",Pune,MAHARASHTRA
1555514,Eco Tech Recycling,Refurbisher,Approved by CPCB Authority,Authorization,"C - 6, (5), Sagar Industrial Estate,  S. No. 46/4, Dhumal Nagar, Vasai East Vasai Palghar",Palghar,MAHARASHTRA
68515,E HASIRU,Refurbisher,Approved by CPCB Authority,Authorization,"NO.168/B, 7TH MAIN ROAD,3RD PHASE PEENYA INDUSTRIAL AREA BANGALORE Bangalore",Bangalore,KARNATAKA
1890234,EMS SCRAPO,Refurbisher,Approved by CPCB Authority,Authorization,SURVEY NO 199 HISSA NO 03 BHARAT MARKET KHAN COMPOUND SHIL ROAD THANE Thane,Thane,MAHARASHTRA
2546307,ENVIROCARE RECYCLING PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"Unit No. 7 & 8, C - 1, Actual Industrial Complex, Uchat Road Village Mangathane, Tal. Wada, Dist. Palghar 421312 Wada Palghar",Palghar,MAHARASHTRA
13674,Envirokare Recycling Solutions Pvt Ltd ,Refurbisher,Approved by CPCB Authority,Authorization,"SY No. 475, Elikatta village  Farooq Nagar K.V.Rangareddy",K.V.Rangareddy,TELANGANA
2408553,epragathi recycing,Refurbisher,Approved by CPCB Authority,Authorization,"89/2 AND 90 ROAD NO. 19 ANTHARASANAHALLI INDUSTRIAL AREA, ANTHARASANAHALLI TUMKUR Tumkur",Tumkur,KARNATAKA
43397,ETCO E-WASTE RECYCLER PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"SB-22-23,, SHILP BARI, ROAD NO. 14, VKI AREA,  jaipur Jaipur",Jaipur,RAJASTHAN
2441901,Fiz Trading Company,Refurbisher,Approved by CPCB Authority,Authorization,"PLOT NO. 60, ROOP NAGAR INDUSTRIAL AREA, LONI BANTHLA, GHAZIABAD 201102 GHAZIABAD Ghaziabad",Ghaziabad,UTTAR PRADESH
33655,GLOBAL METALISTS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"J-176, RIICO, GROWTH CENTRE, RIICO INDUSTRIAL AREA, DHOLPUR  DHOLPUR Dholpur",Dholpur,RAJASTHAN
36380,GNG Electronics pvt ltd,Refurbisher,Approved by CPCB Authority,Authorization,"GNG ELECTRONICS PVT LTD C/O RAHEJA DISTRICT, PLOT NO GEN-2/1/B, BLOCK D, SHED B1 & B2, MODULE 7 & 8 MIDC TTC INDUSTRIAL AREA, JUINAGAR, NAVI MUMBAI, THANE, MAHARASHTRA, PIN CODE: 400 706 navi mumbai Thane",Thane,MAHARASHTRA
1602299,GRADE INFRATECH PVT LTD,Refurbisher,Approved by CPCB Authority,Authorization,Gat No 849 Near Mahindra CIE Ambethan Village Chakan Tal Khed Dist Pune 410501 Pune Pune,Pune,MAHARASHTRA
763856,Green PC World Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No-14, Pace City-1, Sector-37 Gurgaon, Haryana -122006 Plot No. 14, Pace City-1, Sector-37 Gurgaon, Haryana- 122006 Gurgaon Gurgaon",Gurgaon,HARYANA
16922,GREENSCAPE ECO MANAGEMENT PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,F-588 to F-591 MIA Alwar Alwar,Alwar,RAJASTHAN
14934,Greentek Reman Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"B2/12, Site B Industrial Area Surajpur Greater Noida Gautam Buddha Nagar",Gautam Buddha Nagar,UTTAR PRADESH
7,GRKMS PVT LTD,Refurbisher,Approved by CPCB Authority,Authorization,"GRKMS PVT LTD , PLOT NO 74 , 29B CROSS , KIADB INDUSTRIAL AREA 1ST STAGE SOMPURA , BHARATHIPURA , DABASPETE BANGALORE Bangalore Rural",Bangalore Rural,KARNATAKA
50983,INGRAM MICRO INDIA PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"INGRAM MICRO INDIA PRIVATE LIMITED, Plot #1-4, Survey# 5/2, 15 KM Stone, Singasandra Post Bartena Agrahara NH7, Hosur RD Bangalore-560100. Karnataka, India Bengaluru Bangalore",Bangalore,KARNATAKA
44662,Ingram Micro India Pvt. Ltd,Refurbisher,Approved by CPCB Authority,Authorization,PLOT NO 45 PACE CITY-1  GURUGRAM Gurgaon,Gurgaon,HARYANA
71321,J K CORPORATION,Refurbisher,Approved by CPCB Authority,Authorization,"Survey No. 242/274, Hissa No. 1 & 2 Vaganpada, Near Nana Steel, Pelhar, Nalasopara (E), Tal. Vasai, Dist. Palghar  - 401208 Vasai Palghar",Palghar,MAHARASHTRA
40392,JSA WEB SOLUTIONS,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No.93-A4, Sy No. Parts of 136 , PLOT NO.93-A4, PHASE II JIGANI INDUSTRIAL AREA, SY NO. PARTS Jigani II Phase Ind Area, Anekal-Jigani hobli, Bangalore Urban-560105 Bengaluru Bangalore",Bangalore,KARNATAKA
506545,Krishna Metal Refinery,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No 2/143,Sapronde Village Post Uchat,Taluka Wada,Dist Thane Village Sapronde,Tal Wada,Dist Thane Thane",Thane,MAHARASHTRA
58419,MAHARASHTRA ENTERPRISES,Refurbisher,Approved by CPCB Authority,Authorization," Plot No.D-49/2, MIDC Dhule  Dist. Dhule, Maharashtra  Dhule Dhule",Dhule,MAHARASHTRA
60580,MAHESH TRADERS,Refurbisher,Approved by CPCB Authority,Authorization,"PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 PLOT NO.18, E WARD, SHREE SHAHU MARKET YARD, MARKET YARD, Kolhapur, Maharashtra, 416005 Kolhapur Kolhapur",Kolhapur,MAHARASHTRA
931206,M A K TECHNOLOGY INDUSTRIAL,Refurbisher,Approved by CPCB Authority,Authorization,"No. SP-5, veersandra IE, phase II, 2nd cross, husukur main road Electronic City, Bengaluru Bengaluru Bangalore",Bangalore,KARNATAKA
1384916,Manak Waste Management Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"C-21, plot No, 21, LGF, GF, FF, and SF, Block C, Sector 80, Noida, Gautham Buddha Nagar Uttar Pradesh 201301 noida Gautam Buddha Nagar",Gautam Buddha Nagar,UTTAR PRADESH
994804,MATRIX INFO SYSTEMS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"X-22, B BLOCK PHASE 2 INDUSTRIAL AREA NEW DELHI South Delhi",South Delhi,DELHI
1428205,M/S SHABBIR TRADERS,Refurbisher,Approved by CPCB Authority,Authorization,"Gala No - P/16, Sl No - 121/2, Balaji Industris Park, Tondre Village MIDC Taloja Road, behind Hindalco Company, Taloja MIDC, Navi Mumbai, Raigad Navi Mumbai Raigarh(MH)",Raigarh(MH),MAHARASHTRA
1545159,M/s Sultan Disposal Stores,Refurbisher,Approved by CPCB Authority,Authorization,Sr No 28/2A/B Undri Opp R Point Pune Saswad Road Tal Haveli Dist Pune 411028 Pune Pune,Pune,MAHARASHTRA
636648,My Return Solutions Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"No. 52, 1st Floor, JC Industrial Layout, Yelachenahalli, Kanakapura Road, Bangalore 560 061 JC Industrial Layout, Yelachenahalli Bangalore Bangalore",Bangalore,KARNATAKA
33758,PROPLANET RECYCLERS LLP,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No. 285-E, Sy.No. 25(p), Yandrakayipura Village,  Narasapura Hobli, Kolar Taluk & District  Kolar Kolar",Kolar,KARNATAKA
1648296,P U STEEL & ELECTRO PROCESS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,Ruiya Industrial Complex Patulia Khardaha North 24 Parganas,North 24 Parganas,WEST BENGAL
37070,Puthur Infotech Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"1st Floor, No 55,, 5th Cross, Banasawadi Main Road, Banasawadi Bengaluru Urban, Karnataka, 560043 Bengaluru Bangalore",Bangalore,KARNATAKA
16295,RIOT LABZ PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"B 29 Sector 88, Noida  Noida Gautam Buddha Nagar",Gautam Buddha Nagar,UTTAR PRADESH
671111,ROSHANI SCRAP CENTER,Refurbisher,Approved by CPCB Authority,Authorization,"Gat No 879, Nurani Masjid, Kudalwadi, Chikhali, Pune Pune Pune",Pune,MAHARASHTRA
35229,Saahas Waste Management Pvt. Ltd,Refurbisher,Approved by CPCB Authority,Authorization,"Plot No: R-46, 5th cross, KSSIDC Industrial Estate, 2nd Phase, Jigani Bangalore Bangalore",Bangalore,KARNATAKA
41594,Sas Tech E Waste Recycling Solutions,Refurbisher,Approved by CPCB Authority,Authorization,Plot No G 286 Road No 1 RIICO Industrial Area Ratangarh Churu,Churu,RAJASTHAN
1651449,S K Enterprises,Refurbisher,Approved by CPCB Authority,Authorization,"S. No. 77, Hissa No. 1 Hindustan Market, Daighar, Shil Phata Road Thane Thane",Thane,MAHARASHTRA
56289,SPC INTERNATIONAL (INDIA) PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"NO 4/11, NEAR OXFORD COLLEGE, HOSUR ROAD, BOMMANAHALLI, Bengaluru (Bangalore) Urban, Karnataka, 560068  Bengaluru Bangalore",Bangalore,KARNATAKA
37131,SRIRAM ECO RAKSHA COMPUTER SERVICE PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"Shed No B29, KSSIDC Industrial Estate, BOMMASANDRA-I INDL ESTATE, Hosur Road Anekal-Attibele Hobli, Bommasandra, Bangalore Urban BENGALURU Bangalore",Bangalore,KARNATAKA
42669,TAJ COMPUTER SOLUTIONS PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"B-II/28, Mohan Cooperative Industrial Area, Badarpur, New Delhi, Delhi, 110044 New Delhi South Delhi",South Delhi,DELHI
544898,TES-AMM (INDIA) PRIVATE LIMITED,Refurbisher,Approved by CPCB Authority,Authorization,"Survey No.118, Site No.8, Mookambika Temple Road, Magadi Main Road Mochohalli Forest Gate, Bengaluru Bangalore Bangalore",Bangalore,KARNATAKA
38027,Trishyiraya Recycling India Private Limited,Refurbisher,Approved by CPCB Authority,Authorization,"Shed no10,SW-51,, Apprl Park, Phase-2, DITPL, KIADB ind area, Doddaballapura Dod Ballapur, Bangalore Rural Bengaluru rural Bangalore Rural",Bangalore Rural,KARNATAKA
35738,vivo Mobile India Pvt Ltd,Refurbisher,Approved by CPCB Authority,Authorization,"vivo Mobiile India Pvt. Ltd Plot No 08, Sector 24, Yamuna Expressway Area, Gautam Buddha Nagar Yamuna Expressway Area, Greater Noida Gautam Buddha Nagar",Gautam Buddha Nagar,UTTAR PRADESH
