Name & Address,NAME & ADDRESS,Name
M/s. Parshva Poly Impex Unit No- 101,,
"M/s. Sunny Enterprises
Block No. W-6",,
M/s.Balson Industries 246/9,,
"M/s. Advanced Bio Material Company Pvt Ltd Galaxy
L.B.S. Marg",,
M/s. Gurjyot Enterprises Gala No-11,,
M/s. Auravail Biopolymer pvt ltd H. No. 1019,,
,"M/s. Bhavna Enterprises
D-10 Ram Rahim Rahim Udyog Nagar",
,"M/s.Amar Industries
A-10 MIDC Khapoli",
,"M/s. Modern Industries
Unit No - 33",
,"M/s. Suyash Industries
Gat No- 318",
,"M/s. Ansari Plastic
Plot No- 2443/A/3",
,"M/s. Shakti Plastic Industries
Gat No- 158 & 159",
,"M/s. Swagatam Enterprises
Gat No- 667 Khandala Matha Ranjangaon Ganpati",
,M/s. Jay Agro Industries Plot no-a757,
,"M/s. Samarth Enterprises.
Gat No- 669",
,M/s. Green Roots Solutions. Survey No- 50,
,M/s. Mothara Industries,
,"M/s. Sun Plast.
C-112",
,"M/s. Top O Plast.
Gala No- 104",
,"M/s. International Drum Suppliers Gala
No- D-7",
,"M/s. Shree Enterprises
Gala No- 5 & 6",
,"M/s. Forum Enterprises
B- 39",
,"M/s. Nasik Plastic waste Recycling pvt. Ltd.
Sr. No- 82/1",
,M/s. Shree Bhavani Engineering works W-67 MIDC Rabale,
,"M/s. Perfect Insulation
Survey No- 184",
,M/s. Champion Scrap Traders Plot No C/2,
,M/s. Sudhiraja Plastic Pvt. Ltd. Gat No. 126/1,
,"M/s. Naaz Petroleum
Shop No. 9/10",
,M/s. Soumaya Sales Corporation Gat No. 689 Near Kolare,
,"M/s.Shama Scrap Center
Gat No. 689",
,"M/s.SMD Enterprises
MJK Compound",
,"M/s. Habib Enterprises
2- Ganesh Nagar-2",
,M/s. Polygenta Technologies Ltd. Gat No- 265/1-266 at village- Avankhed,
,"M/s. N.M. Enterprises
Plot No- 16+17/5",
,M/s.Nature Preserve Plast LLP Plot No- B-1/1,
,"M/s. Kapila Enterprises
Plot No- C49",
,"M/s. Santoolan Enviro Solutions Pvt Ltd. Plot
No- M-72",
,"M/s. Padma Plast.
Plot No- C-20",
,"M/s. Alankar Polymers.
Unit No- 6",
,"M/s. Bright Star Plastic Industries S.
No- 2018",
,"M/s. M.M Plastics
Jaferi Compound",
,M/s. GD Environmental Pvt Ltd Kamla shankar industrial complex shed no. A-7,
,"M/s. Prema Plastic and Allied Industries
152A",
,"M/s. Go Green Envirotek
Plot No. 167/1/B Barsoli",
,"M/s. Morphe Energies
Plot no- 4/111/1",
,"M/s. S.R. Traders
Gut No. 265",
,"M/s. Biyani Polymers
Plot No. M-75",
,M/s. Blue Star Drum Suppliers Gala No. 26,
,"M/s. Deluxe Recycling (India) pvt ltd.
Plot No.9 & 10 Sr. No. 441/1. Near
old",
,M/s. Rajasthan Plastic Induatries Gat no 206,
,"M/s. Reliance Industries Limited
Nagothane Division",
,M/s. Divhar Enterprises. House No. 518,
,M/s. National Enterprises. Survey No.69,
,"M/s. Lata Industries.
Plot No. E- 35",
,M/s. Shreeji Plastic. Plot No.17,
,"M/s. Sao Polymers.
Gat No.242",
,"M/s. Hi Tech Polymers.
Plot No. E-63",
,M/s. Sanskar Trading Co. Plot No. 14,
,"M/s. Sharif Enterprises.
Plot No. 670 Kudalwadi (Jadhav wadi Phata)",
,M/s. Poly Greens. Mahindra & Mahindra Ltd Premises,
,"M/s. Neelam Industries.
Plot NO. W-6",
,"M/s. Anupam Plastics.
Plot No. W-5",
,"M/s. Shri Swami Samarth Industries
Plot No M-69 Shrirampur",
,"M/s. Shama Scrap Center
Gat no- 689",
,"M/s. Aurangabad Polycontainers Pvt Ltd
Gut No 04",
,"M/s. Pyrotask Energy
Gut No-105",
,M/s. Revive Energies Pvt Ltd Plot No- 24,
,"M/s. Bharat Industries
Plot No - D-21/MIDC Area",
,"M/s. Rudra Environmental Solution India Limited
C-4/29",
,M/s. National Enterprises. Survey No.69,
,"M/s. S. H. Enterprises
Gat No 812 Pawar Wasti Chikhali",
,"M/s. Jyoti Polymers
A/p-Kh No. 36",
,"M/s. Cemech Engineering Industries
Plot No. W-21",
,,POLYTHENE INDUSRIES
,,OMEGA PACKAGING
,,plasti surge industries pvt ltd
,,KALP MULTIPACK PRIVATE LIMITED
,,Mahavir Packaging
,,OMEGA PACKAGING
,,Siddhivinayaka Poly Products Pvt Ltd
,,VISTA PACKAGING PRIVATE LIMITED
,,SEJPAL PLASTICS PVT. LTD
,,POLYTHENE INDUSRIES
,,AARTI PLASTIC INDUSTRIES
,,M/S NEEL ENTERPRSES
,,GAYATRI PACKAGING
,,Shree Yash Enterprises
,,MODI POLYFAB PVT LTD
,,DILIGENCE INFRAPROJECTS PRIVATE LIMITED
,,VASUDEO POLYMERS
,,DATTA PLASTIC
,,M K Plastics
,,Reliance Industries Limited
,,HABIB ENTERPRISES
,,P.K.Enterprises
,,RAMAKANT SALE CORPORATION
,,M/s. Gulshan Plastic Industry
,,SUPREME PETROCHEM LTD
,,J CHOUDHARY AND COMPANY
,,YES INDUSTRIES
,,M/s. Mustafa Traders Pvt. Ltd.
,,GREEN EARTH POLYPRO PRIVATE LIMITED
,,Precise Technologies
,,AMAR ENTERPRISES
,,Pyrotask Energy
,,A. M. Industries
,,SANTOOLAN ENVIRO SOLUTIONS PVT. LTD.
,,Greentech Recyclers
,,SOUMAYA SALES CORPORATION
,,Malushte Secuearth
,,D Trading Company
,,Maa santoshi industries
,,M/s. Map Trading Company.
,,S.S ENTERPRISES
,,JYOTI POLYMERS
,,AMAR PLASTIC INDUSTRIES
,,SWANYOG INDUSTRIE PVT LTD
,,Earth Care Solutions
,,NAVBHARAT RECYCLING INDUSTRIES
,,Gupta Enterprises
,,HERAMB POLYFLAKES
,,Meera Brijmohan Gupta (OPC)
,,Scape E Recycler Private Limited
,,Sunshine Enterprises
,,Sadguru Plastics
,,LIBERTY POLYMERS
,,Five Elements Environmental Technologies Pvt. Ltd.
,,HUHTAMAKI FOUNDATION
,,Sai Enterprises
,,Elegante Producto Pvt. Ltd.
,,Technova Recycling India Private Limited
,,RESGEN LIMITED
,,SHRIRAM INCORPORATED
,,Bharat Industries
,,GREEN OIL INDIA
,,RAJASTHAN PLASTIC INDUSTRIES
,,Pune Traders
,,Om Plastic
,,GEMCORP RECYCLING & TECHNOLOGIES PVT. LTD.
,,Adarsh Pet Pvt. Ltd.
,,SHAKTI CORPORATION
,,SWASTIK PLASTO
,,Viraj Traders
,,SHREE VENKATESH ENTERPRISES
,,Rudra BLUE PLANET Environmental SolutionS India Ltd
,,M/s. Sudhiraja Plastic Pvt. Ltd.
,,CLEAN BIOTECH PRIVATE LIMITED
,,A H Traders
,,Threco Recycling LLP
,,DELUXE RECYCLING (INDIA).PVT.LTD
,,MOHMMAD UMAR TRADER
,,Rudra BLUE PLANET Environmental SolutionS India Ltd
,,M K SCRAP TRADERS
,,S M Pawar Industrial Suppliers
,,Ms Ansh Enterprises
,,Earth Care Solutions
,,Universal Waste Management
,,ADVAIT POLYMERS
,,PATIDAR POLYMERS
,,Mohan Industries
,,Greentech Recyclers
,,S H ENTERPRISES
,,J CHOUDHARY AND COMPANY
,,SHREE BHAVANI ENGINEERING WORKS
,,Mothara Industries
,,UMA PLASTIC
,,M/s. Ansari Plastics
,,AMIN PLASTIC
,,K. K. NAG PVT. LTD
,,AGARWAL TECHNOPLAST PVT. LTD.
,,KESARIYA METAL CORPORTAION
,,Prema Plastic and Allied Industries
,,NIDA PLASTICS
,,SUN PLAST
,,M/s.TOP O PLAST
,,ROYAL PLASTIC
,,BLUE STAR DRUM SUPPLIERS
,,Sai Enterprises
,,SIDDHIVINAYAK ENTERPRISES
,,Alankar Polymers
,,M/s. Champion Chem Industries
,,National Enterprises
,,Swami Samarth Polyfilm Industries Pvt. Ltd.
,,M/s. Map Trading Company.
,,CEMECH ENGINEERING INDUSTRIES
,,PADMA PLAST
,,Samarth Enterprises
,,M/s. N. M. Enterprises
,,Swagatam Enterprises
,,M/s. Mustafa Traders Pvt. Ltd.
,,Revalyu Recycling (India) Limited
,,NASIK PLASTIC WASTE RECYCLING PRIVATE LIMITED
,,Samarth Enterprises
,,Maiz Trading Corporation
,,D Trading Company
,,Indian Plastic
,,BRIGHT STAR PLASTIC INDUSTRIES
,,Meera Brijmohan Gupta (OPC)
,,S R Traders
,,PERFECT INSULATION
,,SMD Enterprises
,,AQSA STAMPING
,,JAY AGRO INDUSTRIES
,,AMAR INDUSTRIES
,,SAGEER AHAMAD SHABBER KHAN
,,Pur O Fuel Pvt Ltd
,,FORAM ENTERPRISES
,,NIDA PLASTICS
,,NAAZ PETROLEUM
,,Shama Scrap Centre
,,Mediplast Packaging Nagpur Pvt Ltd
,,S.S ENTERPRISES
,,SKY TRADERS
,,SHAILA PLASTIC
,,Maa Santoshi Industries
,,Suyash Industries
,,Jai Durga Industries
,,The Hind Electric And Engineering Corporation
,,Raman Plastic
,,Modern Packaging Industries
,,YES INDUSTRIES
,,Shree Ramdeo Industries
,,Kirloskar Oil Engines Limited
,,SANA TRADERS
,,Pallavi Industries
,,NATIONAL PLASTIC UDYOG
,,AMAR PLASTIC INDUSTRIES
,,Gupta Enterprises
,,SHIVAM ENTERPRISES
,,ALBIR TRADING CO
,,BALAJI ENTERPRISES
,,Evergreen Industries
,,International Drum Suppliers
,,Sneha Plastic
,,Shree Plastics Industries
,,AMAN PLASTICS
,,Sadguru Plastics
,,S H ENTERPRISES
,,SHAKTI PLASTIC INDUSTRIES
,,Someshwar Industries
,,Someshwar Industries
,,SHREE VENKATESH ENTERPRISES
,,SARA ENTERPRISES
,,M K SCRAP TRADERS
